subject	relation	object	time_step	date
Moon Jae-in	Make statement	Donald Trump	3480	2018-05-26
Treasury/Finance Ministry (Malaysia)	Make statement	Malaysia	4752	2018-07-18
Palestinian Territory, Occupied	Use conventional military force	Israeli Defense Forces	2832	2018-04-29
Palestinian Territory, Occupied	Criticize or denounce	Donald Trump	3192	2018-05-14
Tran Dai Quang	Make a visit	Ethiopia	5664	2018-08-25
Vietnam	Consult	Spain	4272	2018-06-28
Sri Lanka	Reject plan, agreement to settle dispute	China	3624	2018-06-01
Media Personnel (Singapore)	Make statement	Member of the Judiciary (Singapore)	4200	2018-06-25
Mexico	Praise or endorse	Chile	5280	2018-08-09
Russia	Reject	United Kingdom	1728	2018-03-14
India	Make statement	Member of the Judiciary (India)	1920	2018-03-22
Other Authorities / Officials (United States)	Make statement	Iraq	5448	2018-08-16
Egypt	Mediate	Palestinian Territory, Occupied	4680	2018-07-15
African Union	Host a visit	Macky Sall	672	2018-01-29
Russia	Express intent to cooperate	Mexico	4080	2018-06-20
Police (Estonia)	Express intent to engage in diplomatic cooperation (such as policy support)	Citizen (Estonia)	3432	2018-05-24
Donald Trump	Engage in negotiation	Kim Jong-Un	4104	2018-06-21
United Kingdom	Make optimistic comment	United States	5688	2018-08-26
UN Security Council	Make a visit	Bangladesh	2736	2018-04-25
Military Personnel (Afghanistan)	Make statement	Military (Afghanistan)	648	2018-01-28
Member of the Judiciary (India)	Make statement	India	4416	2018-07-04
Pierre Moscovici	Consult	Alexis Tsipras	912	2018-02-08
Lawmaker (Nigeria)	Criticize or denounce	Government (Nigeria)	528	2018-01-23
India	Use conventional military force	Myanmar	4272	2018-06-28
Head of Government (Nepal)	Express intent to meet or negotiate	Li Keqiang	3912	2018-06-13
Government Lawyer/Representative (Philippines)	Make statement	Justice Department/Ministery (Philippines)	1584	2018-03-08
Mohammad Javad Zarif	Consult	European Union	4488	2018-07-07
Police (India)	Provide humanitarian aid	Children (India)	4176	2018-06-24
Panos Kammenos	Consult	Jacek Czaputowicz	1200	2018-02-20
Nikolai Platonovich Patrushev	Make a visit	Argentina	1320	2018-02-25
Vladimir Putin	Consult	Hassan Rouhani	2520	2018-04-16
Citizen (Norway)	Make an appeal or request	Legislature (Norway)	4032	2018-06-18
Government (Ethiopia)	Engage in negotiation	Political Parties (Ethiopia)	3384	2018-05-22
Germany	Arrest, detain, or charge with legal action	Citizen (Germany)	936	2018-02-09
India	Make empathetic comment	L.K. Advani	5448	2018-08-16
Newspaper (Turkey)	Make statement	Lawyer/Attorney (Turkey)	1608	2018-03-09
Taliban	Reject	Ashraf Ghani Ahmadzai	4584	2018-07-11
Scholar (Botswana)	Express intent to meet or negotiate	Citizen (Botswana)	3768	2018-06-07
Benjamin Netanyahu	Engage in negotiation	Nikolai Platonovich Patrushev	744	2018-02-01
Police (Zimbabwe)	Make statement	Party Member (Zimbabwe)	3936	2018-06-14
Police (India)	Make statement	Thief (India)	3408	2018-05-23
Donald Trump	Meet at a 'third' location	Vladimir Putin	480	2018-01-21
Vladimir Putin	Praise or endorse	National Congress (Russia)	3480	2018-05-26
Australia	Accuse	Citizen (Australia)	1056	2018-02-14
Christian Social Union of Bavaria	Threaten	Angela Merkel	3960	2018-06-15
Mike Pompeo	Make a visit	North Korea	3192	2018-05-14
Pranab Mukherjee	Express intent to meet or negotiate	India	3504	2018-05-27
Military Personnel (India)	Use conventional military force	Citizen (India)	4416	2018-07-04
Greece	Express intent to meet or negotiate	Macedonia	504	2018-01-22
Kenya	Sign formal agreement	Niger	4368	2018-07-02
Citizen (India)	Obstruct passage, block	Unspecified Actor	3552	2018-05-29
China	Investigate	Citizen (China)	5376	2018-08-13
Lawyer/Attorney (United States)	Make statement	Revolutionary Armed Forces of Colombia	2376	2018-04-10
World Economic Forum	Express intent to meet or negotiate	Switzerland	216	2018-01-10
N. Chandrababu Naidu	Make statement	Treasury/Finance Ministry (India)	3024	2018-05-07
China	Host a visit	Business (United States)	1968	2018-03-24
Hassan Rouhani	Reduce or break diplomatic relations	Iran	24	2018-01-02
Hamas	Consult	Rami Hamdallah	1728	2018-03-14
Ahmed Aboul Gheit	Consult	Wang Qishan	4536	2018-07-09
Leonid Slutsky	Make statement	Russia	600	2018-01-26
Dinh La Thang	Apologize	Employee (Vietnam)	384	2018-01-17
Militant (India)	fight with small arms and light weapons	Military (India)	3240	2018-05-16
Hugo Chavez	Reject plan, agreement to settle dispute	United States	2616	2018-04-20
Representatives (Germany)	Consult	Joao Lourenco	5640	2018-08-24
Muhammadu Buhari	Praise or endorse	Head of Government (Equatorial Guinea)	552	2018-01-24
Kyaw Win	Make statement	Other Authorities / Officials (Myanmar)	4224	2018-06-26
Boris Johnson	Express accord	Rex Tillerson	528	2018-01-23
Business (Singapore)	Make statement	Strait Times	576	2018-01-25
Protester (Palestinian Territory, Occupied)	Demonstrate or rally	Israel	3624	2018-06-01
Donald Trump	Make a visit	World Economic Forum	288	2018-01-13
Business (Afghanistan)	Sign formal agreement	Al Jazeera	2232	2018-04-04
Mahathir Mohamad	Make statement	Government (Malaysia)	3120	2018-05-11
Vladimir Putin	Criticize or denounce	United States	1440	2018-03-02
Military (India)	Mobilize or increase armed forces	India	1080	2018-02-15
Hyundai Motor	Express intent to meet or negotiate	North Korea	5064	2018-07-31
Sergey Viktorovich Lavrov	Consult	Mohammad Javad Zarif	5112	2018-08-02
Secretariat (United Nations)	Make statement	Norway	3216	2018-05-15
Citizen (Germany)	Deny responsibility	Social Democratic Party	2832	2018-04-29
Sudan	Host a visit	Abiy Ahmed	2904	2018-05-02
China	Yield	United States	3432	2018-05-24
Military Personnel - Special (India)	Use conventional military force	Militant (Hezbul Mujahedeen)	2856	2018-04-30
Foreign Affairs (Oman)	Host a visit	Foreign Affairs (South Korea)	2856	2018-04-30
Juan Manuel Santos	Reduce or break diplomatic relations	Rebel Group (National Liberation Army)	672	2018-01-29
Bukola Saraki	Make an appeal or request	Citizen (Nigeria)	5472	2018-08-17
United States	Make statement	Indonesia	5256	2018-08-08
City Mayor (India)	Make statement	Bharatiya Janata	4200	2018-06-25
Other Authorities / Officials (Iran)	Accuse of espionage, treason	Professor (Iran)	1080	2018-02-15
Justice Department/Ministery (Lebanon)	Make statement	Islamic State of Iraq and the Levant	5184	2018-08-05
Main Opposition (Turkey)	Reduce relations	Recep Tayyip Erdoğan	2640	2018-04-21
Sinn Féin	Praise or endorse	Gerry Adams	960	2018-02-10
Citizen (Lebanon)	Demonstrate or rally	Unspecified Actor	1416	2018-03-01
Australia	Express intent to meet or negotiate	Vanuatu	4200	2018-06-25
Lawyer/Attorney (United Arab Emirates)	Accuse	Police (United Arab Emirates)	3000	2018-05-06
Norway	Make pessimistic comment	United Kingdom	4104	2018-06-21
Air Force (Syria)	Use conventional military force	Syria	1032	2018-02-13
United Kingdom	Criticize or denounce	Russia	1752	2018-03-15
Gerry Adams	Make an appeal or request	Government (Ireland)	48	2018-01-03
Congress (India)	Make statement	Bharatiya Janata	216	2018-01-10
Jaysh al-Islam	Use unconventional violence	Military (Syria)	2304	2018-04-07
Ashok Gehlot	Engage in negotiation	Congress (India)	3552	2018-05-29
Information / Communication / Transparency Ministry (South Korea)	Make an appeal or request	Other Authorities / Officials (South Korea)	5376	2018-08-13
Donald Trump	Express intent to meet or negotiate	Belgium	4248	2018-06-27
Hu Chunhua	Consult	House of Lords	3240	2018-05-16
Iran	Make statement	United States	4128	2018-06-22
Militant (Syria)	Express intent to meet or negotiate	Syria	2880	2018-05-01
Germany	Consult	Burkina Faso	1776	2018-03-16
Foreign Affairs (Russia)	Make statement	Vladimir Putin	1920	2018-03-22
Thief (Malawi)	Use unconventional violence	Citizen (Malawi)	3552	2018-05-29
Lawmaker (Iran)	Consult	Karu Jayasuriya	2640	2018-04-21
France	Consult	United States	1248	2018-02-22
North Korea	Express intent to meet or negotiate	Citizen (International)	2136	2018-03-31
Election Commission (Russia)	Make a visit	Transnistria	1512	2018-03-05
Faqir Mohammad Jawzjani	Make statement	Islamic State of Iraq and the Levant	912	2018-02-08
Haiti	Consult	Foreign Affairs (United States)	288	2018-01-13
John R. Bolton	Make statement	North Korea	5256	2018-08-08
Other Authorities / Officials (China)	Engage in negotiation	Ministry (Laos)	3216	2018-05-15
Jordan	Provide humanitarian aid	Citizen (Syria)	4848	2018-07-22
UN Security Council	Praise or endorse	Party Member (Liberia)	168	2018-01-08
Yuriy Lutsenko	Accuse	Nadiya Savchenko	1872	2018-03-20
Head of Government (Ukraine)	Make statement	Court Judge (Ukraine)	1608	2018-03-09
Nguyen Xuan Phuc	Consult	Narendra Modi	576	2018-01-25
Mahamudu Bawumia	Make a visit	United Kingdom	840	2018-02-05
Citizen (India)	Make an appeal or request	Police (India)	4656	2018-07-14
Party Member (India)	Criticize or denounce	Head of Government (India)	312	2018-01-14
Senate (Australia)	Engage in symbolic act	Malcolm Bligh Turnbull	3432	2018-05-24
Donald Trump	Praise or endorse	Russia	4704	2018-07-16
UN Security Council	Consult	United Nations	5376	2018-08-13
Senate (Australia)	Make an appeal or request	Scott Morrison	5664	2018-08-25
Citizen (Hungary)	Criticize or denounce	Government (Hungary)	408	2018-01-18
Company - Owner or Operator (India)	Accuse	Citizen (India)	1896	2018-03-21
Citizen (Syria)	Accuse	Justice Department/Ministery (Syria)	384	2018-01-17
Terrorist (Boko Haram)	fight with small arms and light weapons	Military (Nigeria)	3072	2018-05-09
Donald Trump	Make an appeal or request	Government (Venezuela)	3360	2018-05-21
Sergey Viktorovich Lavrov	Express intent to meet or negotiate	Vietnam	1848	2018-03-19
Member of Parliament (Australia)	Investigate	Citizen (Australia)	4224	2018-06-26
Al-Shabaab	Use conventional military force	Military (Somalia)	504	2018-01-22
Other Authorities / Officials (Germany)	Arrest, detain, or charge with legal action	Men (Somalia)	1128	2018-02-17
Korean Central News Agency	Make statement	Kim Jong-Un	3888	2018-06-12
Government (Jordan)	Reject	Israel	2232	2018-04-04
Attacker (Democratic Republic of Congo)	Use unconventional violence	Children (Democratic Republic of Congo)	1848	2018-03-19
Tourist (Germany)	Make a visit	Tunisia	4512	2018-07-08
Saulius Skvernelis	Make statement	Employee (Lithuania)	2448	2018-04-13
Other Authorities / Officials (China)	Engage in negotiation	Wang Yi	4536	2018-07-09
Governor (Nigeria)	Accuse	Police (Nigeria)	4704	2018-07-16
Sushma Swaraj	Praise or endorse	UN General Assembly	5376	2018-08-13
Foreign Affairs (Bahrain)	Praise or endorse	Undersecretary (Bahrain)	2448	2018-04-13
Fighter Bomber (Libya)	Employ aerial weapons	Armed Band (Chad)	1848	2018-03-19
Police (Russia)	fight with small arms and light weapons	Men (Russia)	2352	2018-04-09
Hindu (Pakistan)	Make a visit	India	1152	2018-02-18
Citizen (India)	Criticize or denounce	India	5256	2018-08-08
Donald Trump	Criticize or denounce	European Union	4056	2018-06-19
N. Chandrababu Naidu	Praise or endorse	Ministry (India)	1728	2018-03-14
Scottish National Party	Appeal for easing of administrative sanctions	Australia	3168	2018-05-13
Austria	Praise or endorse	United Kingdom	2328	2018-04-08
Citizen (Palestinian Territory, Occupied)	Demonstrate for policy change	Israel	2112	2018-03-30
Arvind Kejriwal	Make statement	Narendra Modi	4368	2018-07-02
Business (Australia)	Praise or endorse	Bill Shorten	4632	2018-07-13
Head of Government (Lebanon)	Express intent to meet or negotiate	Muhammad ibn Salman	1392	2018-02-28
Protester (India)	Protest violently, riot	India	4920	2018-07-25
Citizen (India)	fight with small arms and light weapons	Military (India)	5424	2018-08-15
National Council for Peace and Order of Thailand	Threaten	Pheu Thai Party	3264	2018-05-17
Lawmaker (India)	Make statement	Company - Owner or Operator (India)	4344	2018-07-01
Switzerland	Host a visit	Kim Jong-Un	3816	2018-06-09
Military (Somalia)	Occupy territory	Somalia	408	2018-01-18
Head of Government (Uzbekistan)	Express intent to meet or negotiate	Uzbekistan	2616	2018-04-20
Itsunori Onodera	Express intent to meet or negotiate	Russia	5088	2018-08-01
Party Member (Taiwan)	Make an appeal or request	Citizen (Taiwan)	5376	2018-08-13
Morocco	Accuse	Hezbollah	2904	2018-05-02
Gen Prayut Chan-o-cha	Consult	Cabinet / Council of Ministers / Advisors (Thailand)	4080	2018-06-20
Rahul Gandhi	Accuse	N. Chandrababu Naidu	2448	2018-04-13
Saeb Erekat	Make an appeal or request	Unidentified State Actor	5616	2018-08-23
Lithuania	Praise or endorse	Moldova	3192	2018-05-14
Amarinder Singh	Consult	Ministry (India)	3120	2018-05-11
Mano River Union	Praise or endorse	Ellen Johnson-Sirleaf	1200	2018-02-20
Police (India)	Arrest, detain, or charge with legal action	Al Qaeda	2328	2018-04-08
Foreign Affairs (Azerbaijan)	Sign formal agreement	Foreign Affairs (Tajikistan)	2856	2018-04-30
Head of Government (India)	Make statement	Amarinder Singh	1464	2018-03-03
Other Authorities / Officials (Malaysia)	Arrest, detain, or charge with legal action	Mohammad Najib Abdul Razak	4200	2018-06-25
Shinzo Abe	Express intent to meet or negotiate	Donald Trump	3648	2018-06-02
Benjamin Netanyahu	Praise or endorse	Head of Government (Russia)	1872	2018-03-20
Henry Kissinger	Consult	Salman bin Abdulaziz al-Saud	1752	2018-03-15
Narendra Modi	Consult	K.P. Sharma Oli	2328	2018-04-08
Citizen (Australia)	Accuse	Business (Australia)	5712	2018-08-27
Russia	Investigate	Armed Gang (Russia)	1176	2018-02-19
Ahmed Patel	Engage in negotiation	Cabinet / Council of Ministers / Advisors (India)	3552	2018-05-29
Russia	Host a visit	Argentina	504	2018-01-22
International Criminal Court	Demand	Court Judge (Congo)	4416	2018-07-04
Head of Government (Malaysia)	Investigate	Election Commission (Malaysia)	3144	2018-05-12
Director General (India)	Make statement	Police (India)	3192	2018-05-14
Salvador Sánchez Cerén	Consult	Donald Trump	4368	2018-07-02
Office of the United Nations High Commissioner for Human Rights	Criticize or denounce	Legislature (Hungary)	4104	2018-06-21
Lithuania	Sign formal agreement	Latvia	1080	2018-02-15
Kim Jong-Un	Express intent to cooperate	Head of Government (South Korea)	2952	2018-05-04
Government (North Korea)	Criticize or denounce	South Korea	1896	2018-03-21
Ministry (Australia)	Make statement	Police (Australia)	1968	2018-03-24
Vietnam	Host a visit	Naval (United Kingdom)	1608	2018-03-09
Japan	Praise or endorse	World Trade Organization	2544	2018-04-17
Member of the Judiciary (India)	Criticize or denounce	V. Prabhakaran	5112	2018-08-02
Police (China)	Investigate	Lawyer/Attorney (China)	672	2018-01-29
Mike Pompeo	Make a visit	North Korea	3432	2018-05-24
Mohammad Javad Zarif	Make statement	Iran	2808	2018-04-28
Fulani herdsmen	Occupy territory	Nigeria	768	2018-02-02
Bill Clinton	Make a visit	China	4176	2018-06-24
China	Engage in diplomatic cooperation	Japan	1536	2018-03-06
Citizen (New Zealand)	Accuse	Other Authorities / Officials (United States)	432	2018-01-19
Amnesty International	Criticize or denounce	Israel	2088	2018-03-29
Attacker (India)	fight with small arms and light weapons	Shah Rukh Khan	2856	2018-04-30
Singapore	Arrest, detain, or charge with legal action	Men (Singapore)	5400	2018-08-14
Citizen (India)	Demonstrate or rally	Swami Agnivesh	4752	2018-07-18
Karin Kneissl	Make a visit	Austria	4752	2018-07-18
Court Judge (India)	Make an appeal or request	Citizen (India)	360	2018-01-16
Russia	Reject	Ukraine	600	2018-01-26
Vuong Dinh Hue	Make statement	Sumitomo Mitsui	1512	2018-03-05
Rumen Radev	Meet at a 'third' location	Recep Tayyip Erdoğan	4608	2018-07-12
Education Ministry (Estonia)	Express intent to meet or negotiate	Finland	5376	2018-08-13
Naftali Bennett	Reject	Jerusalem Post	4368	2018-07-02
Bharatiya Janata	Accuse	Congress (India)	1704	2018-03-13
Bahujan Samaj Party	Engage in negotiation	Congress (India)	3696	2018-06-04
Iran	Arrest, detain, or charge with legal action	Citizen (Iran)	1656	2018-03-11
Iran	Engage in diplomatic cooperation	Turkey	2544	2018-04-17
France	Express accord	United States	2352	2018-04-09
Law and Justice	Bring lawsuit against	Citizen (United States)	168	2018-01-08
Citizen (Japan)	Make an appeal or request	Aso Taro	1680	2018-03-12
Militant (Afghanistan)	Use unconventional violence	Military (Afghanistan)	1512	2018-03-05
Ombudsman (Canada)	Express intent to meet or negotiate	Royal Administration (Canada)	936	2018-02-09
Kolinda Grabar-Kitarović	Make statement	Civic Group (Croatia)	3696	2018-06-04
Member of Legislative (Govt) (Myanmar)	Make statement	Wunnakyawhtin Win Myint	1896	2018-03-21
Wei Fenghe	Make statement	Narendra Modi	5616	2018-08-23
Domestic Affairs (Egypt)	Consult	Domestic Affairs (Italy)	4752	2018-07-18
Liam Fox	Make statement	United Kingdom	5688	2018-08-26
Kenya	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	1608	2018-03-09
Li Keqiang	Make a visit	Indonesia	3048	2018-05-08
Cabinet / Council of Ministers / Advisors (Ukraine)	Sign formal agreement	Government (Qatar)	1872	2018-03-20
United States	Make an appeal or request	Pakistan	4296	2018-06-29
Martín Vizcarra	Appeal for diplomatic cooperation (such as policy support)	Citizen (Peru)	2472	2018-04-14
Citizen (Palestinian Territory, Occupied)	Use unconventional violence	Israeli Defense Forces	2208	2018-04-03
Protester (Honduras)	Protest violently, riot	Police (Honduras)	2880	2018-05-01
Head of Government (India)	Make statement	Lawmaker (India)	3576	2018-05-30
Nikki Haley	Rally opposition against	Russia	4128	2018-06-22
Head of Government (Congo)	Make a visit	Democratic Republic of Congo	5136	2018-08-03
Citizen (Nicaragua)	Demonstrate or rally	Unspecified Actor	2736	2018-04-25
Police (Israel)	Arrest, detain, or charge with legal action	Citizen (Israel)	2376	2018-04-10
Bharatiya Janata	Deny responsibility	Congress (India)	2040	2018-03-27
Employee (Philippines)	Appeal for de-escalation of military engagement	Member of the Judiciary (Philippines)	2736	2018-04-25
Tejashwi Prasad Yadav	Make an appeal or request	Governor (India)	3960	2018-06-15
Police (India)	Arrest, detain, or charge with legal action	Women (India)	3840	2018-06-10
Labor Union (India)	Demonstrate or rally	Unspecified Actor	3576	2018-05-30
Head of Government (Thailand)	Express intent to meet or negotiate	Villager (Thailand)	816	2018-02-04
European Union	Express intent to meet or negotiate	Macedonia	2448	2018-04-13
Media (Japan)	Make statement	Police (Japan)	1608	2018-03-09
Haruhiko Kuroda	Make statement	Government Affiliated Bank (Japan)	2808	2018-04-28
Donald Trump	Make statement	European Union	2424	2018-04-12
Government (India)	Make an appeal or request	Citizen (India)	3168	2018-05-13
Cabinet / Council of Ministers / Advisors (India)	Make statement	India	408	2018-01-18
Muhammadu Buhari	Make an appeal or request	Ethnic Group (Nigeria)	4416	2018-07-04
Boris Johnson	Consult	Jean-Yves Le Drian	1728	2018-03-14
National Council of Switzerland	Make statement	Switzerland	1176	2018-02-19
Foreign Affairs (Palestinian Territory, Occupied)	Reduce or break diplomatic relations	Pakistan	168	2018-01-08
Association of American Publishers	Express intent to change institutions, regime	India	2040	2018-03-27
Congress (Nicaragua)	Criticize or denounce	Military (International)	4320	2018-06-30
Alie Kabba	Praise or endorse	High Commission (Nigeria)	4584	2018-07-11
Member of the Judiciary (India)	Arrest, detain, or charge with legal action	Bishop (India)	4536	2018-07-09
Head of Government (Turkey)	Reduce or break diplomatic relations	Israel	3192	2018-05-14
Citizen (South Africa)	Demonstrate or rally	South Africa	2280	2018-04-06
Shinsuke Sugiyama	Make statement	Japan	1224	2018-02-21
United States	Consult	Kim Jong-Un	1560	2018-03-07
Russia	Make statement	Ahmet Üzümcü	2544	2018-04-17
Police (Afghanistan)	Make statement	Military (Afghanistan)	1800	2018-03-17
Citizen (Russia)	Demonstrate or rally	Unspecified Actor	2880	2018-05-01
Petro Poroshenko	Express intent to engage in diplomatic cooperation (such as policy support)	European Union	4464	2018-07-06
United States	Express intent to engage in diplomatic cooperation (such as policy support)	Citizen (Venezuela)	1896	2018-03-21
Linas Antanas Linkevičius	Criticize or denounce	Iran	3864	2018-06-11
Japan	Host a visit	Mike Pompeo	4296	2018-06-29
Yoweri Museveni	Consult	United Arab Emirates	5208	2018-08-06
Pinarayi Vijayan	Reject proposal to meet, discuss, or negotiate	United States	5496	2018-08-18
Donald Tusk	Threaten	United Kingdom	2568	2018-04-18
Appeals Court (Brazil)	Arrest, detain, or charge with legal action	Head of Government (Brazil)	2016	2018-03-26
United States	Demand	Sudan	3768	2018-06-07
Taro Kono	Express intent to meet or negotiate	Sergey Viktorovich Lavrov	5064	2018-07-31
Vivian Balakrishnan	Express intent to meet or negotiate	Ri Yong-ho	3792	2018-06-08
Robert Mugabe	Criticize or denounce	Legislature (China)	3552	2018-05-29
Bishop (India)	Accuse	Government (India)	1344	2018-02-26
European Union	Make statement	Angela Merkel	2688	2018-04-23
Muhammadu Buhari	Make statement	Dangote Group	1368	2018-02-27
Hafiz Mohammad Saeed	Use conventional military force	United States	1128	2018-02-17
Russia	Engage in diplomatic cooperation	United States	4272	2018-06-28
Lawyer/Attorney (Russia)	Make statement	Crimea	3768	2018-06-07
Police (India)	Provide humanitarian aid	Citizen (India)	1464	2018-03-03
Business (India)	Make statement	India	4224	2018-06-26
United States	Express intent to cooperate	European Union	5088	2018-08-01
Cho Tae-yul	Make statement	Envoy (South Korea)	504	2018-01-22
Justin Trudeau	Make statement	Government (Canada)	4056	2018-06-19
Police (China)	Make statement	Criminal (China)	312	2018-01-14
India	Host a visit	Nguyen Xuan Phuc	624	2018-01-27
Government (Vietnam)	Make an appeal or request	Domestic Affairs (Vietnam)	408	2018-01-18
Ministry (Nigeria)	Accuse	Senate (Nigeria)	72	2018-01-04
Bharatiya Janata	Make an appeal or request	Cabinet / Council of Ministers / Advisors (India)	3144	2018-05-12
Armed Band (Nigeria)	Use unconventional violence	Nigeria	1104	2018-02-16
China	Praise or endorse	Citizen (Cambodia)	4968	2018-07-27
Canada	Express intent to engage in diplomatic cooperation (such as policy support)	Population (Canada)	1800	2018-03-17
Australia	Arrest, detain, or charge with legal action	Citizen (Australia)	576	2018-01-25
Police (Myanmar)	Arrest, detain, or charge with legal action	Citizen (Myanmar)	5712	2018-08-27
Michel Aoun	Express intent to meet or negotiate	Other Authorities / Officials (Armenia)	1224	2018-02-21
Insurgent (Taliban)	Use unconventional violence	Government (Afghanistan)	96	2018-01-05
Germany	Engage in diplomatic cooperation	Iran	1728	2018-03-14
Military (Syria)	Use conventional military force	Terrorist (Syria)	3912	2018-06-13
Sung Kim	Consult	Foreign Affairs (North Korea)	3504	2018-05-27
Atlantic Council	Host a visit	Muhammadu Buhari	2832	2018-04-29
Department of Defense	Make statement	Syria	528	2018-01-23
Azerbaijan	Engage in diplomatic cooperation	Latvia	4872	2018-07-23
Pranab Mukherjee	Consult	Head of Government (India)	5040	2018-07-30
Bill Clinton	Make statement	China	5304	2018-08-10
Government (Japan)	Engage in material cooperation	Japan	4872	2018-07-23
Russia	Arrest, detain, or charge with legal action	Media Personnel (Ukraine)	3720	2018-06-05
Ministry (India)	Consult	Telugu Desam Party	5232	2018-08-07
Member of the Judiciary (United Kingdom)	Criticize or denounce	Northern Ireland	3768	2018-06-07
Fernando Henrique Cardoso	Make statement	Brazil	168	2018-01-08
Citizen (Afghanistan)	Use unconventional violence	Military (Afghanistan)	72	2018-01-04
Sudan	Express intent to meet or negotiate	Salva Kiir	4128	2018-06-22
Japan	Host a visit	James Mattis	4296	2018-06-29
Bharatiya Janata	Make statement	Military Personnel - Special (India)	3144	2018-05-12
Jeff Flake	Consult	Cuba	120	2018-01-06
Minister Prabhu	Consult	Arun Jaitley	192	2018-01-09
Head of Government (Vietnam)	Make statement	Vietnam	4104	2018-06-21
Donald Trump	Consult	Mohammed bin Salman	2112	2018-03-30
Vyacheslav Victorovich Volodin	Express intent to meet or negotiate	Azerbaijan	4176	2018-06-24
Government (India)	Express intent to provide economic aid	Citizen (India)	2232	2018-04-04
China	Engage in diplomatic cooperation	France	192	2018-01-09
Foreign Affairs (Russia)	Consult	Businessperson (United Kingdom)	3888	2018-06-12
Sunil Kumar	Investigate crime, corruption	India	5616	2018-08-23
Russia	Express intent to cooperate	Turkey	5400	2018-08-14
Protester (Palestinian Territory, Occupied)	Demonstrate or rally	Foreign Affairs (United States)	3288	2018-05-18
Recep Tayyip Erdoğan	Make statement	Turkey	1416	2018-03-01
Israel	Use conventional military force	Criminal (Palestinian Territory, Occupied)	888	2018-02-07
Cabinet / Council of Ministers / Advisors (United States)	Make statement	China	792	2018-02-03
Nicaragua	Demand change in leadership	Daniel Ortega	4080	2018-06-20
European Union	Consult	Pier Carlo Padoan	1200	2018-02-20
Grigory Borisovich Karasin	Consult	Igor Dodon	1872	2018-03-20
Mihai Fifor	Make a visit	Romania	1536	2018-03-06
Xi Jinping	Make a visit	Rwanda	4896	2018-07-24
Member of Parliament (United Kingdom)	Reject	Government Official (United Kingdom)	4080	2018-06-20
Head of Government (Turkey)	Discuss by telephone	Head of Government (France)	1944	2018-03-23
Court Judge (United Kingdom)	Demand	Murderer (United Kingdom)	2688	2018-04-23
Michel Aoun	Criticize or denounce	Citizen (Lebanon)	2064	2018-03-28
Legislature (Iran)	Praise or endorse	Hezbollah	3048	2018-05-08
Sudan People's Liberation Army	Return, release person(s)	Military (South Sudan)	672	2018-01-29
Shinzo Abe	Make statement	Kim Jong-Un	2832	2018-04-29
Michel Aoun	Make statement	Lebanon	3096	2018-05-10
Tony Abbott	Make statement	Australia	3528	2018-05-28
Sergey Viktorovich Lavrov	Appeal to others to meet or negotiate	United States	4416	2018-07-04
Protester (Nigeria)	Make an appeal or request	Senate (Nigeria)	1896	2018-03-21
Non-Governmental Organizations	Make statement	Hungary	5616	2018-08-23
Germany	Praise or endorse	United Kingdom	1776	2018-03-16
Bharatiya Janata	Accuse	Samajwadi Janata Party	2328	2018-04-08
Rights Activist (India)	Provide humanitarian aid	Children (India)	5472	2018-08-17
David Davis	Share intelligence or information	House of Lords	672	2018-01-29
Mob (India)	Protest violently, riot	Unspecified Actor	5184	2018-08-05
Greece	Criticize or denounce	Foreign Affairs (Russia)	5136	2018-08-03
Milos Zeman	Make statement	Jiří Drahoš	288	2018-01-13
Head of Government (India)	Make statement	Bharatiya Janata	768	2018-02-02
Government Affiliated Bank (Bulgaria)	Engage in diplomatic cooperation	Treasury/Finance Ministry (Bulgaria)	3096	2018-05-10
Attacker (Afghanistan)	Carry out suicide bombing	National Directorate of Security	2880	2018-05-01
Citizen (India)	Criticize or denounce	Government (India)	2856	2018-04-30
Criminal (New Zealand)	Use unconventional violence	Citizen (New Zealand)	4296	2018-06-29
Military (India)	Criticize or denounce	Citizen (India)	3672	2018-06-03
Police (South Korea)	Investigate	Lee Myung Bak	504	2018-01-22
Citizen (Syria)	fight with small arms and light weapons	Military Personnel (Syria)	5040	2018-07-30
Turkey	Sign formal agreement	Government (Sudan)	96	2018-01-05
Cabinet / Council of Ministers / Advisors (India)	Express intent to release persons or property	Criminal (India)	5664	2018-08-25
Middle East	Host a visit	Jean-Pierre Lacroix	1368	2018-02-27
Croatia	Accuse	Serbia	696	2018-01-30
Head of Government (Germany)	Rally opposition against	Citizen (Germany)	3864	2018-06-11
United Kingdom	Express intent to provide economic aid	United Arab Emirates	3312	2018-05-19
Muhammadu Buhari	Consult	Nigeria	5112	2018-08-02
Yogi Adityanath	Make a visit	India	2544	2018-04-17
Health Ministry (Latvia)	Make statement	Dana Reizniece-Ozola	4440	2018-07-05
Citizen (Russia)	Express intent to engage in diplomatic cooperation (such as policy support)	Grigory Alexeyevich Yavlinsky	792	2018-02-03
Martese Johnson	Bring lawsuit against	Police (Ireland)	4104	2018-06-21
Detainee (Turkey)	Accede to demands for rights	Employee (Turkey)	384	2018-01-17
Secretariat (India)	Use conventional military force	Jagtar Singh Tara	1800	2018-03-17
Rally for Democracy and Progress	Make statement	Ministry (Namibia)	1680	2018-03-12
Police (India)	Investigate	Lawyer/Attorney (India)	5568	2018-08-21
